3dx,3dy,3dz
-6.9606769304009e-07,1.6737540756706e-06,7.2536117501354e-07
-7.3856480220513e-07,1.7783278501993e-06,7.70636989611e-07
-7.834008811658e-07,1.8884234710415e-06,8.1855857608781e-07
-8.312682493461e-07,2.0040989355818e-06,8.6915016495048e-07
-8.8283043997439e-07,2.125309922274e-06,9.2238121407462e-07
-9.3871484152519e-07,2.2519354681005e-06,9.7818046296272e-07
-9.9951760090811e-07,2.3837928914139e-06,1.0364439360089e-06
-1.0658106741612e-06,2.5206411434775e-06,1.0970366100538e-06
-1.1381439906089e-06,2.6621753890232e-06,1.1597893832538e-06
-1.2170387957422e-06,2.8080170273448e-06,1.2244937003802e-06
-1.302970669137e-06,2.9577037335971e-06,1.2908963499259e-06
-1.3963427094588e-06,3.1106840591155e-06,1.3586969006552e-06
-1.4974513428134e-06,3.266320795059e-06,1.4275500316296e-06
-1.6064492319723e-06,3.4239063794184e-06,1.4970744803278e-06
-1.7233114679716e-06,3.582691804338e-06,1.5668693105764e-06
-1.8478118669618e-06,3.741927782186e-06,1.6365367268567e-06
-1.9795150238977e-06,3.9009139831681e-06,1.7057090660466e-06
-2.1177866886823e-06,4.0590500925974e-06,1.7740765174135e-06
-2.2618208971315e-06,4.2158823447824e-06,1.8414121315258e-06
-2.410678897613e-06,4.371141482995e-06,1.9075919752143e-06
-2.5633341584896e-06,4.5247720836805e-06,1.9726104807938e-06
-2.7187205248191e-06,4.6769566782734e-06,2.0365929017385e-06
-2.8757865287998e-06,4.8281392097116e-06,2.0998073050338e-06
-3.0335653569136e-06,4.9790485099344e-06,2.1626763369587e-06
-3.1912726388139e-06,5.130713212842e-06,2.2257838988293e-06
-3.3484370673964e-06,5.2844473223956e-06,2.2898653264103e-06
-3.5050480876597e-06,5.4417785892991e-06,2.355766117762e-06
-3.6616764423902e-06,5.60430193558e-06,2.4243601881024e-06
-3.8195078432279e-06,5.7734729442815e-06,2.496436743965e-06
-3.9802507673103e-06,5.950396628096e-06,2.5725864944981e-06
-4.1459343689265e-06,6.1356821866032e-06,2.6531255347961e-06
-4.3186648377436e-06,6.3294069896358e-06,2.738079448561e-06
-4.5004194326737e-06,6.5311815302671e-06,2.8272219056436e-06
-4.6929248876948e-06,6.7402688689877e-06,2.9201416796854e-06
-4.8976214586105e-06,6.9557063239745e-06,3.0163095560143e-06
-5.1156839632194e-06,7.1763957114057e-06,3.1151271925323e-06
-5.348064372801e-06,7.4011519306527e-06,3.2159529176068e-06
-5.5955281590414e-06,7.6287161587252e-06,3.3181083174127e-06
-5.8586682409878e-06,7.8577472952257e-06,3.4208733109137e-06
-6.1378901803355e-06,8.0868068651763e-06,3.5234781132487e-06
-6.4333695136698e-06,8.3143518159468e-06,3.625099953955e-06
-6.7449880793991e-06,8.5387480490695e-06,3.7248714560012e-06
-7.0722621078323e-06,8.7583147796721e-06,3.8219059878414e-06
-7.4142803641042e-06,8.9714046845046e-06,3.9153424136601e-06
