13dx,13dy,13dz
2.5590140956266e-06,-4.0889523566512e-06,-1.7718346701501e-06
2.708779818561e-06,-4.2459250529925e-06,-1.839889700872e-06
2.8646948160294e-06,-4.4049529578927e-06,-1.9088409971002e-06
3.0269283339823e-06,-4.5659375205731e-06,-1.9786460463689e-06
3.195649934673e-06,-4.7287810199803e-06,-2.0492620168289e-06
3.3710259611519e-06,-4.8933851395372e-06,-2.1206452571476e-06
3.5532166343666e-06,-5.0596489616916e-06,-2.1927506407282e-06
3.7423741209297e-06,-5.2274667278196e-06,-2.2655308590247e-06
3.9386417377552e-06,-5.3967257211407e-06,-2.3389357641235e-06
4.1421542636977e-06,-5.5673044522808e-06,-2.4129118076366e-06
4.3530392773716e-06,-5.7390713614769e-06,-2.4874016318066e-06
4.5714193086521e-06,-5.9118841482242e-06,-2.5623438400235e-06
4.7974145169771e-06,-6.0855897953682e-06,-2.6376729675565e-06
5.0311455473961e-06,-6.2600252949685e-06,-2.7133196568996e-06
5.2727361449234e-06,-6.4350190094875e-06,-2.7892110286976e-06
5.5223150881023e-06,-6.6103925235594e-06,-2.8652712161376e-06
5.7800170299993e-06,-6.7859627498612e-06,-2.9414220070328e-06
6.0459819640757e-06,-6.9615439819426e-06,-3.0175835112473e-06
6.3203532431055e-06,-7.1369495551477e-06,-3.0936747548171e-06
6.6032743422095e-06,-7.3119928065968e-06,-3.1696141000598e-06
6.8948848480632e-06,-7.4864871260072e-06,-3.245319408568e-06
7.1953163601757e-06,-7.6602450507085e-06,-3.3207079033135e-06
7.5046890478658e-06,-7.8330765437978e-06,-3.3956957392403e-06
7.8231095259618e-06,-8.0047867575123e-06,-3.4701973453399e-06
8.1506704560086e-06,-8.1751737000813e-06,-3.5441246506104e-06
8.4874519566958e-06,-8.3440262504883e-06,-3.6173863311693e-06
8.8335244903259e-06,-8.5111229057855e-06,-3.6898872225952e-06
9.1889525826172e-06,-8.6762314982572e-06,-3.7615280117035e-06
9.5537985991268e-06,-8.8391099288473e-06,-3.8322052706404e-06
9.9281257655015e-06,-8.9995077553594e-06,-3.9018118303241e-06
1.0311999840695e-05,-9.1571683153262e-06,-3.9702374243205e-06
1.0705489194018e-05,-9.3118309941395e-06,-4.0373694889032e-06
1.1108663362291e-05,-9.4632332707165e-06,-4.1030939891239e-06
1.1521590439267e-05,-9.6111122636494e-06,-4.1672961518871e-06
1.1944333794922e-05,-9.7552056243233e-06,-4.2298610167038e-06
1.237694865186e-05,-9.8952517439965e-06,-4.290673752308e-06
1.2819478977577e-05,-1.0030989330653e-05,-4.349619721393e-06
1.3271955038086e-05,-1.0162156465737e-05,-4.4065843025007e-06
1.3734391888898e-05,-1.0288489293575e-05,-4.4614524992576e-06
1.4206788932936e-05,-1.0409720508753e-05,-4.5141083833411e-06
1.4689130579448e-05,-1.0525577831988e-05,-4.5644344397744e-06
1.5181387940877e-05,-1.0635782654894e-05,-4.6123108876223e-06
1.5683521379484e-05,-1.0740049076807e-05,-4.6576150820182e-06
1.6195483578008e-05,-1.0838083536246e-05,-4.7002211098351e-06
1.671722265395e-05,-1.0929585177039e-05,-4.7399996803282e-06
1.7248684764049e-05,-1.101424703126e-05,-4.7768183964458e-06
